#  eta  phi  dep  det     cap0     cap1     cap2     cap3  HcalDetId
    -3   14    1   HB  3.70360  4.06480  3.88360  4.03600   4200418E
    -3   15    1   HB  4.43600  3.93660  4.33740  3.69180   4200418F
    -3   16    1   HB  5.05960  5.28020  5.20680  5.17433   42004190
    -3   17    1   HB  4.53040  4.75680  4.74640  4.62980   42004191
    -3   18    1   HB  4.19480  4.00060  4.45760  4.52180   42004192
    -3   19    1   HB  4.23640  4.83860  4.43640  4.62020   42004193
    -3   20    1   HB  3.71840  3.65520  4.06240  3.66460   42004194
    -3   21    1   HB  3.22940  3.90320  3.47700  3.87520   42004195
    -3   22    1   HB  2.67704  2.85760  3.31720  2.78260   42004196
    -3   23    1   HB  4.69740  4.72800  4.71720  5.05840   42004197
    -3   24    1   HB  3.50480  4.54940  4.03060  3.67780   42004198
    -3   25    1   HB  5.07980  4.84620  5.19000  4.88200   42004199
    -3   26    1   HB  2.77700  3.21800  3.24860  3.07280   4200419A
    -3   27    1   HB  3.60900  3.67040  3.81740  3.50980   4200419B
    -3   28    1   HB  5.50340  5.03300  5.13520  5.29340   4200419C
    -3   29    1   HB  3.50320  3.65040  4.04200  4.39400   4200419D
    -3   30    1   HB  4.20740  3.83260  4.79240  3.85720   4200419E
    -3   31    1   HB  3.84480  3.80200  3.98900  4.05180   4200419F
    -3   32    1   HB  3.09140  3.15420  3.50980  3.37960   420041A0
    -3   33    1   HB  3.78700  3.56860  3.93460  3.63060   420041A1
    -3   34    1   HB  3.12700  3.09580  3.72200  3.35940   420041A2
    -3   35    1   HB  3.62260  3.44640  3.63480  3.42000   420041A3
    -3   36    1   HB  3.12460  3.16860  3.28800  3.27860   420041A4
    -3   37    1   HB  3.51320  3.67180  3.51760  3.60040   420041A5
    -3   38    1   HB  3.91820  3.20000  3.95720  3.73220   420041A6
    -3   39    1   HB  3.82740  4.37060  3.70240  4.92020   420041A7
    -3   40    1   HB  4.20940  4.13960  4.24820  4.48780   420041A8
    -3   41    1   HB  4.59340  4.88140  4.42680  4.46800   420041A9
    -3   42    1   HB  4.00060  4.29920  4.18100  4.65420   420041AA
    -3   43    1   HB  4.28980  4.31620  4.30260  4.62720   420041AB
    -3   44    1   HB  4.58480  4.56220  4.85500  4.54460   420041AC
    -3   45    1   HB  3.28300  3.36200  3.55360  3.58180   420041AD
    -3   46    1   HB  3.99740  3.56840  4.00260  3.80440   420041AE
    -3   47    1   HB  4.00600  3.84080  4.33400  4.00760   420041AF
    -3   48    1   HB  4.26840  3.85760  5.04020  4.28760   420041B0
    -3   49    1   HB  3.11660  3.10940  3.00520  2.96460   420041B1
    -3   50    1   HB  3.86980  3.72940  4.41460  3.63120   420041B2
    -3   51    1   HB  4.03800  4.31840  3.98020  4.96160   420041B3
    -3   52    1   HB  3.77700  3.96760  4.00560  3.16400   420041B4
    -3   53    1   HB  3.91360  4.02120  4.04660  4.12360   420041B5
    -3   54    1   HB  4.45040  4.30580  4.32040  3.68480   420041B6
    -3   55    1   HB  3.24900  3.15620  3.43700  3.22680   420041B7
    -3   56    1   HB  3.27120  3.54560  3.67780  3.63920   420041B8
    -3   57    1   HB  2.83740  2.83000  2.96700  3.06440   420041B9
    -3   58    1   HB  4.13560  4.02860  4.44620  4.18280   420041BA
    -3   59    1   HB  4.25980  4.04060  3.96300  4.22840   420041BB
    -3   60    1   HB  3.70900  3.33980  3.74500  3.57220   420041BC
    -3   61    1   HB  3.39340  3.46840  3.60360  3.51300   420041BD
    -3   62    1   HB  4.25180  4.46060  4.48440  4.19780   420041BE
    -3   63    1   HB  2.90100  2.65850  2.44900  2.97650   420041BF
    -3   64    1   HB  5.44050  4.85350  5.49400  4.90000   420041C0
    -3   65    1   HB  4.22350  4.27000  4.48550  3.99800   420041C1
    -3   66    1   HB  3.95400  4.37400  4.39900  4.60350   420041C2
    -3   67    1   HB  3.63900  3.54080  3.81280  3.36500   420041C3
    -3   68    1   HB  3.16680  3.05440  3.40660  3.04160   420041C4
    -3   69    1   HB  3.99120  4.30860  3.69480  3.97780   420041C5
    -3   70    1   HB  3.01060  3.00720  3.17120  2.47660   420041C6
    -3   71    1   HB  3.45720  3.30680  3.31860  3.78780   420041C7
    -3   72    1   HB  4.08560  3.29260  4.20120  3.72020   420041C8
    -4    1    1   HB  4.02751  3.51040  4.08880  3.98560   42004201
